皮肤ID,卡牌组ID,皮肤图片,皮肤图片名,下牌动画,提示文字,皮肤显示时间,是否是特殊异画皮肤,外框名,异画皮肤ICON点击TIPS,异画ICON文件名,皮肤短描述,皮肤长描述,获取途径,升级解锁皮肤等级,异画标记图片名,获得方式,部署音效,死亡音效,皮肤录像
number,number,string,string,string,string,string,number,string,string,string,string,string,string,number,string,string,string,string,string
ID,card_group_id,res_path,image_name,deploy_anim,tips,begin_time,is_special,frame_name,click_tips,icon_name,page_1_detail,page_2_detail,go_to,lv_up_skin,mark_pic,get_way,deploy_music_effect,dead_music_effect,skin_video
110011,11001,triglodite_lv1_md,绿穴居人,,,2023|1|1|0|0|0,0,skin_dec,,,“记住，用尖的那头捅。”--绿穴居人队长,,,1,,,,,
110012,11001,triglodite_lv2_md,绿穴居人,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“记住，用尖的那头捅。”--绿穴居人队长,,,4,special_rare,,,,
110013,11001,triglodite_lv3_md,绿穴居人,,,2023|1|1|0|0|0,0,skin_dec,,,“记住，用尖的那头捅。”--绿穴居人队长,,,99,special_rare,,,,
110021,11002,gloat_lv1,疯山羊,,,2023|1|1|0|0|0,0,skin_dec,,,“如果你不听话，雷神就会用锤子砸你，然后你就会像这头山羊那样疯疯癫癫了”--阿斯卡德镇睡前故事,,,1,,,,,
110022,11002,gloat_lv2,疯山羊,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“如果你不听话，雷神就会用锤子砸你，然后你就会像这头山羊那样疯疯癫癫了”--阿斯卡德镇睡前故事,,,4,special_rare,,,,
110023,11002,gloat_lv3,疯山羊,,,2023|1|1|0|0|0,0,skin_dec,,,“如果你不听话，雷神就会用锤子砸你，然后你就会像这头山羊那样疯疯癫癫了”--阿斯卡德镇睡前故事,,,99,special_rare,,,,
110031,11003,triclops_lv1,巨人,,,2023|1|1|0|0|0,0,skin_dec,,,虽然被称为“巨人”，其实他们的身高也只不过2米出头。,,,1,,,,,
110032,11003,triclops_lv2,巨人,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,虽然被称为“巨人”，其实他们的身高也只不过2米出头。,,,4,special_rare,,,,
110033,11003,triclops_lv3,巨人,,,2023|1|1|0|0|0,0,skin_dec,,,虽然被称为“巨人”，其实他们的身高也只不过2米出头。,,,99,special_rare,,,,
110041,11004,lost_explorer_lv1,迷失的探险者,,,2023|1|1|0|0|0,0,skin_dec,,,事实证明，脑子是不容易冻坏的。,,,1,,,,,
110042,11004,lost_explorer_lv2,迷失的探险者,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,事实证明，脑子是不容易冻坏的。,,,4,special_rare,,,,
110043,11004,lost_explorer_lv3,迷失的探险者,,,2023|1|1|0|0|0,0,skin_dec,,,事实证明，脑子是不容易冻坏的。,,,99,special_rare,,,,
110051,11005,wolf_rider_lv1,狼骑兵,,,2023|1|1|0|0|0,0,skin_dec,,,“狼人永不为奴！”“嗷嗷嗷！！！”,,,1,,,,,
110052,11005,wolf_rider_lv2,狼骑兵,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“狼人永不为奴！”“嗷嗷嗷！！！”,,,4,special_rare,,,,
110053,11005,wolf_rider_lv3,狼骑兵,,,2023|1|1|0|0|0,0,skin_dec,,,“狼人永不为奴！”“嗷嗷嗷！！！”,,,99,special_rare,,,,
110054,11005,wolf_rider_special1,狼骑兵--新年,special_skin,活动获得,2023|4|20|0|0|0,1,skin_dec2,狼骑兵（异画皮肤）--新年,skin_wolf_rider,“狼人永不为奴！”“咚咚起咚起咚呛！！！”,,,2,special_epic,1|90,,,
110061,11006,headless_lv1,无头骑士,,,2023|4|20|0|0|0,0,skin_dec,,,“你的头看上去不错嘛！”,,,1,,,,,
110062,11006,headless_lv2,无头骑士,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,“你的头看上去不错嘛！”,,,4,special_rare,,,,
110063,11006,headless_lv3,无头骑士,,,2023|4|20|0|0|0,0,skin_dec,,,“你的头看上去不错嘛！”,,,99,special_rare,,,,
110071,11007,admiral_eagle_lv1,雄鹰上将,,,2023|1|1|0|0|0,0,skin_dec,,,“注意你的口气，下士，这里是军事化管理”,,,1,,,,,
110072,11007,admiral_eagle_lv2,雄鹰上将,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“注意你的口气，下士，这里是军事化管理”,,,4,special_rare,,,,
110073,11007,admiral_eagle_lv3,雄鹰上将,,,2023|1|1|0|0|0,0,skin_dec,,,“注意你的口气，下士，这里是军事化管理”,,,99,special_rare,,,,
110081,11008,captain_cacti_lv1,沙漠袭击者,,,2023|1|1|0|0|0,0,skin_dec,,,比海市蜃楼更危险的，是一群伪装完美的沙漠袭击者。,,,1,,,,,
110082,11008,captain_cacti_lv2,沙漠袭击者,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,比海市蜃楼更危险的，是一群伪装完美的沙漠袭击者。,,,4,special_rare,,,,
110083,11008,captain_cacti_lv3,沙漠袭击者,,,2023|1|1|0|0|0,0,skin_dec,,,比海市蜃楼更危险的，是一群伪装完美的沙漠袭击者。,,,99,special_rare,,,,
110091,11009,red_dragon_lv1,红龙,,,2023|1|1|0|0|0,0,skin_dec,,,“你无法伤到我，凡人”,,,1,,,,,
110092,11009,red_dragon_lv2,红龙,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“你无法伤到我，凡人”,,,4,special_rare,,,,
110093,11009,red_dragon_lv3,红龙,,,2023|1|1|0|0|0,0,skin_dec,,,“你无法伤到我，凡人”,,,99,special_rare,,,,
110094,11009,red_dragon_special1,红龙--新年,special_skin,活动获得,2023|1|1|0|0|0,1,skin_dec2,红龙（异画皮肤）--新年,skin_red_dragon,“你无法伤到我，凡人”,,,2,special_epic,1|76,,,
110101,11010,twinaxe_lv1,斧灵,,,2023|4|20|0|0|0,0,skin_dec,,,“真是倔强的灵魂呢。” --战争之神阿瑞斯,,,1,,,,,
110102,11010,twinaxe_lv2,斧灵,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,“真是倔强的灵魂呢。” --战争之神阿瑞斯,,,4,special_rare,,,,
110103,11010,twinaxe_lv3,斧灵（已用）,,,2023|4|20|0|0|0,0,skin_dec,,,“真是倔强的灵魂呢。” --战争之神阿瑞斯,,,99,special_rare,,,,
110111,11011,whiterabbit_lv1,狂兔,,,2023|1|1|0|0|0,0,skin_dec,,,只要是红色的东西，它都吃。,,,1,,,,,
110112,11011,whiterabbit_lv2,狂兔,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,只要是红色的东西，它都吃。,,,4,special_rare,,,,
110113,11011,whiterabbit_lv3,狂兔,,,2023|1|1|0|0|0,0,skin_dec,,,只要是红色的东西，它都吃。,,,99,special_rare,,,,
110121,11012,kamicron_lv1,火药炼金师,,,2023|1|1|0|0|0,0,skin_dec,,,他发现在友军身后放上一个点燃的炸弹可以使其勇气百倍。,,,1,,,,,
110122,11012,kamicron_lv2,火药炼金师,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,他发现在友军身后放上一个点燃的炸弹可以使其勇气百倍。,,,4,special_rare,,,,
110123,11012,kamicron_lv3,火药炼金师,,,2023|1|1|0|0|0,0,skin_dec,,,他发现在友军身后放上一个点燃的炸弹可以使其勇气百倍。,,,99,special_rare,,,,
110124,11012,kamicron_special1_md,火药炼金师,special_skin,商店限时购买,2023|1|1|0|0|0,1,skin_dec2,火药炼金师（异画皮肤）--危险,skin_kamicron_special1,他发现在友军身后放上一个点燃的炸弹可以使其勇气百倍。,,,2,special_epic,,monster_femal_magic_living_things_down,monster_femal_magic_living_things_die,
110131,11013,fisher_monger_lv1_md,渔夫猎人,,,2023|1|1|0|0|0,0,skin_dec,,,渔夫捕鱼，渔夫猎人捕渔夫。,,,1,,,,,
110132,11013,fisher_monger_lv2_md,渔夫猎人,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,渔夫捕鱼，渔夫猎人捕渔夫。,,,4,special_rare,,,,
110133,11013,fisher_monger_lv3_md,渔夫猎人,,,2023|1|1|0|0|0,0,skin_dec,,,渔夫捕鱼，渔夫猎人捕渔夫。,,,99,special_rare,,,,
110141,11014,cat_knight_lv1,猫骑兵,,,2023|1|1|0|0|0,0,skin_dec,,,“是只鸟？是飞毯？不，是猫骑！”--绿穴居人,,,1,,,,,
110142,11014,cat_knight_lv2,猫骑兵,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“是只鸟？是飞毯？不，是猫骑！”--绿穴居人,,,4,special_rare,,,,
110143,11014,cat_knight_lv3,猫骑兵--精英,,传说段位奖励,2023|1|1|0|0|0,1,skin_dec2,猫骑兵--精英,skin_cat_knight_lv3,“是只鸟？是飞毯？不，是猫骑！”--绿穴居人,,,2,special_rare,,,,
110144,11014,cat_knight_special1,猫骑兵--圣诞,special_skin,活动获得,2023|1|1|0|0|0,1,skin_dec2,猫骑兵（异画皮肤）--圣诞,skin_cat_knight,“是只鸟？是飞毯？不，是圣诞老……猫！”--绿穴居人,,,2,special_epic,,,,
110151,11015,snoozemon_lv1,瞌睡恶魔,,,2023|4|20|0|0|0,0,skin_dec,,,瞌睡恶魔最可怕的不是其强大的攻击力，而是起床气。,,,1,,,,,
110152,11015,snoozemon_lv2,瞌睡恶魔,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,瞌睡恶魔最可怕的不是其强大的攻击力，而是起床气。,,,4,special_rare,,,,
110153,11015,snoozemon_lv3,瞌睡恶魔,,天梯结算奖励,2023|4|20|0|0|0,1,skin_dec2,瞌睡恶魔--深渊怒火,skin_snoozemon,瞌睡恶魔最可怕的不是其强大的攻击力，而是起床气。,,,2,special_rare,,,,
110161,11016,fr_silence_lv1,禁默炼金师,,,2023|1|1|0|0|0,0,skin_dec,,,他们不爱说话，并热衷于让其他人闭嘴。,,,1,,,,,
110162,11016,fr_silence_lv2,禁默炼金师,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,他们不爱说话，并热衷于让其他人闭嘴。,,,4,special_rare,,,,
110163,11016,fr_silence_lv3,禁默炼金师,,,2023|1|1|0|0|0,0,skin_dec,,,他们不爱说话，并热衷于让其他人闭嘴。,,,99,special_rare,,,,
110171,11017,triglodite_marauders_lv1,劫掠穴居人,,,2023|4|20|0|0|0,0,skin_dec,,,"""严肃点！打打打…打…劫！""",,,1,,,,,
110172,11017,triglodite_marauders_lv2,劫掠穴居人,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,"""严肃点！打打打…打…劫！""",,,4,special_rare,,,,
110173,11017,triglodite_marauders_lv3,劫掠穴居人,,,2023|4|20|0|0|0,0,skin_dec,,,"""严肃点！打打打…打…劫！""",,,99,special_rare,,,,
110181,11018,barrier_knight_lv1,屏障骑士,,,2023|1|1|0|0|0,0,skin_dec,,,“我嗅到了魔法的臭味…什么？我没有鼻子？不要在意这些细节！”,,,1,,,,,
110182,11018,barrier_knight_lv2,屏障骑士,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“我嗅到了魔法的臭味…什么？我没有鼻子？不要在意这些细节！”,,,4,special_rare,,,,
110183,11018,barrier_knight_lv3,屏障骑士,,,2023|1|1|0|0|0,0,skin_dec,,,“我嗅到了魔法的臭味…什么？我没有鼻子？不要在意这些细节！”,,,99,special_rare,,,,
